"kode","nama","tanggal_expired","satuan","jenis","kelompok","harga_beli","up_a","harga_a","up_b","harga_b","stok_awal","stok_akhir"
"591","DUREX COMFORT 3","","STRIP","LUAR","BIASA","0","17","10.395","11","10.395","0:00","0:00"
"592","DUREX EXTRA 3","","BOX","LUAR","BIASA","0","17","14.196","11","14.196","0:00","0:00"
"593","DUREX FETHERLITE 3","","STRIP","LUAR","BIASA","0","17","12.496","11","12.496","0:00","0:00"
"594","DUREX TOGETHER 3","","STRIP","LUAR","BIASA","0","17","12.27","11","12.27","0:00","0:00"
"595","FRESHCARE TEEN BUBLE,HAPPY,PASSION","","BOTOL/DROP","LUAR","BIASA","0","16","9.7","11","9.7","0:00","0:00"
"596","TONGKAT ANGSA","","BOX","LUAR","BIASA","0","17","90","11","90","0:00","0:00"
"597","HEXILON 4MG","","TABLETLET","ORAL","BIASA","0","16","4.196","11","4.196","0:00","0:00"
"598","ALPRAZOLAM 0.5MG","","TABLETLET","ORAL","PSIKOTROPIKA","0","25","671","25","671","0:00","0:00"
"599","ALPRAZOLAM 1 MG","10/30/2028","TABLETLET","ORAL","PSIKOTROPIKA","666","25","0","25","1.034","0:00","300:00:00"
"600","SENDOK OBAT","","STRIP","LUAR","BIASA","0","37","1","36","1","0:00","0:00"
"601","SPUIT 50ML","","BOX","LUAR","BIASA","0","16","7.5","11","7.5","0:00","0:00"
"602","TOFEDEX 25MG","6/30/2026","TABLETLET","ORAL","BIASA","8.325","16","0","11","8.325","0:00","100:00:00"
"603","BALSAM LION BESAR 31GR","4/30/2027","BOTOL/DROP","LUAR","BIASA","22.2","16","0","11","22.2","0:00","1:00"
"604","BALSAM LION KECIL 13GR","7/30/2027","BOTOL/DROP","LUAR","BIASA","12.21","16","0","11","12.21","0:00","3:00"
"605","HYALOPH ED","","BOTOL/DROP","LUAR","BIASA","0","16","75.203","11","75.203","0:00","0:00"
"606","REFAQUIN","","TUBE","LUAR","BIASA","0","16","68.86","11","68.86","0:00","0:00"
"607","LIZOR TABLET","","TABLETLET","ORAL","BIASA","0","12","25.465","11","25.465","0:00","0:00"
"608","HEXILON 8MG","","TABLETLET","ORAL","BIASA","0","16","5.994","11","5.994","0:00","0:00"
"609","SUVESCO 20MG","5/30/2025","TABLETLET","ORAL","BIASA","11.655","16","0","11","11.655","0:00","134:00:00"
"610","FARMADRAL TABLET","","TABLETLET","ORAL","BIASA","0","16","220","11","220","0:00","0:00"
"611","VITAQUIN CR 15CR","","TUBE","LUAR","BIASA","0","16","54.725","11","54.725","0:00","0:00"
"612","NUTRIBABY SOYA 1 400GR","","BOX","ORAL","BIASA","0","10","96.767","10","96.767","0:00","0:00"
"613","NUTRIBABAY SOYA 2 400GR","","BOX","ORAL","BIASA","0","12","96","11","96","0:00","0:00"
"614","FLUDANE","","TABLETLET","ORAL","BIASA","0","16","809","11","809","0:00","0:00"
"615","RENOVIT BTL","","TABLETLET","ORAL","BIASA","0","16","60.83","11","60.83","0:00","0:00"
"616","DEGRADE TABLET","","TABLETLET","ORAL","BIASA","0","16","7.15","11","7.15","0:00","0:00"
"617","VACLO TABLET","","TABLETLET","ORAL","BIASA","0","10","13.75","10","13.75","0:00","0:00"
"618","SAGALON CR","10/30/2025","TUBE","LUAR","BIASA","44.9","16","0","11","40.315","0:00","3:00"
"619","VASELIN ALBUM / GRAM","","TUBE","LUAR","BIASA","0","16","200","11","200","0:00","0:00"
"620","ACIDUM SALICYLICUM / G","","TUBE","LUAR","BIASA","0","5.2","150","5.1","150","0:00","0:00"
"621","HAEMOCAINE OINT","7/30/2025","TUBE","SALEP","BIASA","98.69","16","0","11","88","0:00","3:00"
"622","CURCUMA+EMULSI GROW","","BOTOL/DROP","ORAL","BIASA","0","16","1.975","11","1.975","0:00","0:00"
"623","STUGERON TABLET","","TABLETLET","ORAL","BIASA","0","16","2.733","11","2.733","0:00","0:00"
"624","MOVI-COX 7.5 MG","","TABLETLET","ORAL","BIASA","0","16","13.495","11","13.495","0:00","0:00"
"625","LIVER CARE","","TABLETLET","ORAL","BIASA","0","16","6.014","11","6.014","0:00","0:00"
"626","SPUIT 1ML TERUMO","","STRIP","LUAR","BIASA","0","16","3.6","11","3.6","0:00","0:00"
"627","CENDO POSOP ED","","TABLETLET","LUAR","BIASA","0","16","62.15","11","62.15","0:00","0:00"
"628","BATANG PENGADUK","","STRIP","LUAR","BIASA","0","16","4","11","4","0:00","0:00"
"629","SERVICAL COLLAR","","BOX","LUAR","BIASA","0","16","125","11","125","0:00","0:00"
"630","LACTAMOR TABLET","","TABLETLET","ORAL","BIASA","0","16","2.72","11","2.72","0:00","0:00"
"631","LONGATIN TABLET","","TABLETLET","ORAL","BIASA","0","16","4.62","11","4.62","0:00","0:00"
"632","TANTUM VERDE LOZENGES","7/30/2026","TABLETLET","ORAL","BIASA","3.053","16","0","11","3.053","0:00","250:00:00"
"633","TEXORATE TABLET","","TABLETLET","ORAL","BIASA","0","16","5.5","11","5.5","0:00","0:00"
"634","HEPAMAX KAPSULUL","","TABLETLET","ORAL","BIASA","0","16","11.655","11","11.655","0:00","0:00"
"635","FRESH CARE + FRESHOLDER","","BOTOL/DROP","LUAR","BIASA","0","15","19.25","11","19.25","0:00","0:00"
"636","TESSA FACIAL TP","","STRIP","LUAR","BIASA","0","16","3.7","11","3.7","0:00","0:00"
"637","MAMY POKO STD M9","","BOX","LUAR","BIASA","0","16","15.9","11","15.9","0:00","0:00"
"638","PRE NAN 400GR","","TABLETLET","ORAL","BIASA","0","16","68.2","11","68.2","0:00","0:00"
"639","GOOD HEALTH SUSU COLOSTRUM","","TABLETLET","ORAL","BIASA","0","17","16.5","11","16.5","0:00","0:00"
"640","VASCUPRAX 100MG","","TABLETLET","ORAL","BIASA","0","16","3.025","11","3.025","0:00","0:00"
"641","FATICA TABLET","","TABLETLET","ORAL","BIASA","0","16","1.1","11","1.1","0:00","0:00"
"642","NODROP","","TABLETLET","ORAL","BIASA","0","16","615","11","615","0:00","0:00"
"643","INOLIN TABLET","","TABLETLET","ORAL","BIASA","0","16","1.366","11","1.366","0:00","0:00"
"644","NEO RHEUMACYL","8/30/2025","TABLET","TABLET","BIASA","8.06","15","0","11","20","0:00","8:00"
"645","BOLA TENSI ABN","","TABLETLET","ORAL","BIASA","0","15","50","10","50","0:00","0:00"
"646","AMINEFRON","","TABLETLET","ORAL","BIASA","0","16","7.15","11","7.15","0:00","0:00"
"647","GLUVAS 4MG","","TABLETLET","ORAL","BIASA","0","16","6.71","11","6.71","0:00","0:00"
"648","SIRAN EFF 600MG PER TUBE","","TABLETLET","ORAL","BIASA","0","16","110","11","110","0:00","0:00"
"649","VOMETA FT","","TABLETLET","ORAL","BIASA","0","16","4.884","11","4.884","0:00","0:00"
"650","CORDILA SR 180MG","","TABLETLET","ORAL","BIASA","0","16","6.82","11","6.82","0:00","0:00"
"651","TEMPRA DROP","","BOTOL/DROP","ORAL","BIASA","0","16","46.065","11","46.065","0:00","0:00"
"652","OMZ KAPSUL 20MG","","KAPSULUL","ORAL","BIASA","0","12","12.834","11","12.834","0:00","0:00"
"653","KONDOM SUTRA OK 12S","1/30/2028","BOX","LUAR","BIASA","28.355","17","0","11","28.1","0:00","8:00"
"654","BODREX FLU","","TABLETLET","ORAL","BIASA","0","16","1.511","11","1.511","0:00","0:00"
"655","MEDIXON 4MG","","TABLETLET","ORAL","BIASA","0","17","2.53","11","2.53","0:00","0:00"
"656","MEDIXON 8MG","","TABLETLET","ORAL","BIASA","0","17","4.07","11","4.07","0:00","0:00"
"657","HISTRINE FT 10MG","","TABLETLET","ORAL","BIASA","0","17","6.27","11","6.27","0:00","0:00"
"658","GRATHAZON","","TABLETLET","ORAL","BIASA","0","17","105","11","105","0:00","0:00"
"659","CEFADROXIL 250 MG SYR","","BOTOL/DROP","ORAL","BIASA","0","17","16.5","11","16.5","0:00","0:00"
"660","LEUKOPLAST 2.5CM","","BOX","LUAR","BIASA","0","17","17","11","17","0:00","0:00"
"661","FOSRENOL CHEW 500MG","","TABLETLET","ORAL","BIASA","0","17","23.1","11","23.1","0:00","0:00"
"662","BELVAS 5MG TABLET","","TABLETLET","ORAL","BIASA","0","17","1.2","11","1.2","0:00","0:00"
"663","LACTULAX SYR","","BOTOL/DROP","ORAL","BIASA","0","16","48.4","11","48.4","0:00","0:00"
"664","PROVOMER TABLET","","TABLETLET","ORAL","BIASA","0","17","2.64","11","2.64","0:00","0:00"
"665","NEUROTAM 800MG","","TABLETLET","ORAL","BIASA","0","17","4.18","11","4.18","0:00","0:00"
"666","TISU SAKU/POCKET","","STRIP","LUAR","BIASA","0","17","1","11","1","0:00","0:00"
"667","TISU BASAH MITU KECIL","","STRIP","LUAR","BIASA","0","17","3.6","11","3.6","0:00","0:00"
"668","AMPICILLIN SYR","","TABLETLET","ORAL","BIASA","0","17","3.24","11","3.24","0:00","0:00"
"669","CEFAZOL INJ","","TABLETLET","ORAL","BIASA","0","17","132","11","132","0:00","0:00"
"670","MENTHOL CONE","","TABLETLET","ORAL","BIASA","0","17","17.501","11","17.501","0:00","0:00"
"671","SCOTTS CHEWYVIT C","","BOX","ORAL","BIASA","0","17","13.9","11","13.9","0:00","0:00"
"672","ANDALAN PIL KB PER BOX","","BOX","ORAL","BIASA","0","17","8.001","11","8.001","0:00","0:00"
"673","ECLID 50MG","","TABLETLET","ORAL","BIASA","0","16","1.887","11","1.887","0:00","0:00"
"674","ECLID 100MG","3/30/2026","TABLETLET","ORAL","BIASA","2.998","17","0","11","2.997","0:00","61:00:00"
"675","PROMUXOL SYR","","BOTOL/DROP","ORAL","BIASA","0","17","23.1","11","23.1","0:00","0:00"
"676","PHYLLOCONTIN CONTINUOS","","TABLETLET","ORAL","BIASA","0","17","2.5","11","2.5","0:00","0:00"
"677","IRONYL","","TABLETLET","ORAL","BIASA","0","17","2.97","11","2.97","0:00","0:00"
"678","SPATEL","","BOX","LUAR","BIASA","0","17","20","11","20","0:00","0:00"
"679","KAPAS 1KG","","TABLETLET","ORAL","BIASA","0","17","47","11","47","0:00","0:00"
"680","BETASERC 24MG","","TABLETLET","ORAL","BIASA","0","17","10.615","11","10.615","0:00","0:00"
"681","RENALOF","12/30/2026","TABLETLET","ORAL","BIASA","15.54","16","0","11","14.8","0:00","58:00:00"
"682","CETIRIZINE SYR","","TABLETLET","ORAL","BIASA","0","17","10.441","11","10.441","0:00","0:00"
"683","TESSA TPC","","TABLETLET","ORAL","BIASA","0","17","2.7","11","2.7","0:00","0:00"
"684","KOOL FEVER ANAK","12/31/2026","TABLETLET","ORAL","BIASA","6.069","16","0","11","6.068","0:00","1:00"
"685","LODIPAS 10MG","1/31/2027","TABLETLET","ORAL","BIASA","6.105","16","0","11","5.55","0:00","1,152.00"
"686","OPUS TABLETLET","","TABLETLET","ORAL","BIASA","0","17","6.105","11","6.105","0:00","0:00"
"687","ARSINAL","9/30/2026","TABLETLET","ORAL","BIASA","1.221","16","0","11","1.221","0:00","168:00:00"
"688","CEFSPAN DRY SYRUP","","BOTOL/DROP","ORAL","BIASA","0","16","138.75","11","138.75","0:00","0:00"
"689","DEXAMETHASONE INJ 5MG/ML","","BOTOL/DROP","LUAR","BIASA","0","17","2.35","11","2.35","0:00","-4.00"
"690","SOHOBION TABLETLET","","TABLETLET","ORAL","BIASA","0","17","1.1","11","1.1","0:00","0:00"
"691","SCOTTS EMULSION VITA 200ML","","BOTOL/DROP","ORAL","BIASA","0","16","42.16","11","42.16","0:00","0:00"
"692","SCOTTS EMULSION VITA 400ML","","BOTOL/DROP","ORAL","BIASA","0","17","49.812","11","49.812","0:00","0:00"
"693","SCOTTS EMULSION ORIGINAL 400ML","","BOTOL/DROP","ORAL","BIASA","0","17","38.795","11","38.795","0:00","0:00"
"694","HUSTABLET P","","TABLETLET","ORAL","BIASA","0","17","300","11","300","0:00","0:00"
"695","LEUKOFIX PT 2121","","TABLETLET","ORAL","BIASA","0","17","15.4","11","15.4","0:00","0:00"
"696","NOPERTEN 5MG","","TABLETLET","ORAL","BIASA","0","17","3.135","11","3.135","0:00","0:00"
"697","DAMUVIT","","TABLETLET","ORAL","BIASA","0","17","2.035","11","2.035","0:00","0:00"
"698","LIKURMIN SYR 100ML","","BOTOL/DROP","ORAL","BIASA","0","17","56.61","11","56.61","0:00","0:00"
"699","CITICOLINE 500MG","5/30/2028","KAPLET","ORAL","BIASA","5.661","16","0","11","5.62","0:00","159:00:00"
"700","ANTALGIN 500MG/METAMIZOLE","","TABLETLET","ORAL","BIASA","0","25","260","11","260","0:00","0:00"
"701","INTIFEN 1MG","","TABLETLET","ORAL","BIASA","0","16","5.301","11","5.301","0:00","0:00"
"702","BIO ATP","","TABLETLET","ORAL","BIASA","0","17","2.356","11","2.356","0:00","0:00"
"703","BLOPRESS 16MG TABLET","","TABLETLET","ORAL","BIASA","0","10","16.5","10","16.5","0:00","0:00"
"704","SOFRADEX","","TABLETLET","ORAL","BIASA","0","17","63.828","11","63.828","0:00","0:00"
"705","TB VIT 6 TABLET","1/30/2028","TABLETLET","ORAL","BIASA","833","16","0","11","825","0:00","212:00:00"
"706","ARCAPEC TABLET","5/30/2026","TABLETLET","ORAL","BIASA","1.221","16","0","11","1.21","0:00","83:00:00"
"707","KURSI RODA GEA","","TABLETLET","ORAL","BIASA","0","17","950","11","950","0:00","0:00"
"708","LONGCEF 125MG 60ML","","BOTOL/DROP","ORAL","BIASA","0","16","46.2","11","46.2","0:00","0:00"
"709","TB ZET","1/30/2027","TABLETLET","ORAL","BIASA","1.388","16","0","11","1.375","0:00","27:00:00"
"710","OBH TROPICA PLUS 100ML","","BOTOL/DROP","ORAL","BIASA","0","16","25.3","11","25.3","0:00","0:00"
"711","AKILEN 200MG","","TABLETLET","ORAL","BIASA","0","16","9.768","11","9.768","0:00","0:00"
"712","BIO SANBE","","TABLETLET","ORAL","BIASA","0","16","990","11","990","0:00","0:00"
"713","CENDO TOBRO 5ML","","BOTOL/DROP","ORAL","BIASA","0","16","22.825","11","22.825","0:00","0:00"
"714","AERIUS D-12","","TABLETLET","ORAL","BIASA","0","16","7.37","11","7.37","0:00","0:00"
"715","METHYLPREDNISOLONE 8MG","","TABLETLET","ORAL","BIASA","0","25","693","11","693","0:00","0:00"
"716","TOCO-E","","TABLETLET","ORAL","BIASA","0","16","9.534","11","9.534","0:00","0:00"
"717","OBAT BATUK PEPERMINT (OBP)","","BOTOL/DROP","ORAL","BIASA","0","16","6.066","11","6.066","0:00","0:00"
"718","TALION TABLET","","TABLETLET","ORAL","BIASA","0","16","2.646","11","2.646","0:00","0:00"
"719","ACETON","","BOTOL/DROP","LUAR","BIASA","0","16","6.5","11","6.5","0:00","-3.00"
"720","KIRANTI KUNING","","BOTOL/DROP","ORAL","BIASA","0","17","4.55","11","4.55","0:00","0:00"
"721","KIRANTI BIRU","","BOTOL/DROP","ORAL","BIASA","0","17","4.25","11","4.25","0:00","0:00"
"722","VIDORAN MY BABY 1 375G","","BOX","ORAL","BIASA","0","16","28.125","11","28.125","0:00","0:00"
"723","VIDORAN MY BABY 2 135G","","BOX","ORAL","BIASA","0","16","10.625","11","10.625","0:00","0:00"
"724","VIDORAN XMART 3 MADU/VAN 135G","","BOX","ORAL","BIASA","0","16","11","11","11","0:00","0:00"
"725","VIDORAN XMART 4 MADU/VAN 135G","","BOX","ORAL","BIASA","0","16","10","11","10","0:00","0:00"
"726","KALKURENAL","","BOTOL/DROP","ORAL","BIASA","0","16","120","11","120","0:00","0:00"
"727","CENDO REPITHEL 5ML","","TABLETLET","ORAL","BIASA","0","16","56.65","11","56.65","0:00","0:00"
"728","LODOMER INJ","10/1/2025","BOTOL/DROP","INJEKSI","BIASA","12.638","20","0","20","12.524","0:00","7:00"
"729","DAKTARIN POWDER","","BOTOL/DROP","LUAR","BIASA","0","16","47.586","11","47.586","0:00","0:00"
"730","SACCORIT","","BOX","ORAL","BIASA","0","16","8.25","11","8.25","0:00","0:00"
"731","MAMY POKO PANTS STD S 11","","TABLETLET","ORAL","BIASA","0","16","15.9","11","15.9","0:00","0:00"
"732","NASSAL ASPIRATOR CAMERA (SALAH)","","TABLETLET","ORAL","BIASA","0","15","22.5","10","22.5","0:00","0:00"
"733","BREAST PUMP","","TABLETLET","ORAL","BIASA","0","16","10","11","23","0:00","0:00"
"734","M TELON LANG PLUS TRIPLE ACT 60ML","9/30/2028","BOTOL","LUAR","BIASA","16.279","16","0","11","16.279","0:00","1:00"
"735","M TELON LANG PLUS TRIPLE ACT 100ML","9/30/2025","BOTOL/DROP","LUAR","BIASA","0","16","0","11","26.034","0:00","2:00"
"736","M KP AMBONIA 100ML","","BOTOL/DROP","LUAR","BIASA","0","16","25.666","11","25.666","0:00","0:00"
"737","ULBAMED","","TABLETLET","ORAL","BIASA","0","16","3.85","11","3.85","0:00","0:00"
"738","BMT P-HP 800 GR","","BOX","BBS","BIASA","0","16","292.677","11","292.677","0:00","0:00"
"739","MYCOSTATIN DROPS","","BOTOL/DROP","ORAL","BIASA","0","16","52.58","11","52.58","0:00","0:00"
"740","N-ACE KAPSULUL","9/30/2026","KAPSULUL","ORAL","BIASA","3.33","16","0","11","3.108","0:00","75:00:00"
"741","TANAKAN 40MG","","TABLETLET","ORAL","BIASA","0","16","5.867","11","5.867","0:00","0:00"
"742","PROMAMA TABLET","","KAPSULUL","ORAL","BIASA","0","16","7.568","11","7.568","0:00","0:00"
"743","CLOZARIL 25MG","","TABLETLET","ORAL","BIASA","0","20","7.51","20","7.51","0:00","0:00"
"744","ONE TOUCH ALAT PLUS STIK","","BOX","LUAR","BIASA","0","16","425","11","425","0:00","0:00"
"745","ACNE FELDIN LOTION 110ML","","BOTOL/DROP","LUAR","BIASA","0","16","39.6","11","39.6","0:00","0:00"
"746","BIOPLACENTON TULLE","","TABLETLET","ORAL","BIASA","0","16","17.05","11","17.05","0:00","0:00"
"747","GRATIGO 5MG TABLET","","TABLETLET","ORAL","BIASA","0","16","3.85","11","3.85","0:00","0:00"
"748","PLATOGRIX 75MG","","TABLETLET","ORAL","BIASA","0","16","6.168","11","6.168","0:00","0:00"
"749","CLANEKSI TABLET","","TABLETLET","ORAL","BIASA","0","16","14.097","11","14.097","0:00","0:00"
"750","KORSET LUMBAR","","TABLETLET","ORAL","BIASA","0","27","250","26","250","0:00","0:00"
"751","OPTIMAX FOR G","","KAPSULUL","ORAL","BIASA","0","16","9.546","11","9.546","0:00","0:00"
"752","PARASOL SPF 15 120 ML","","BOTOL/DROP","LUAR","BIASA","0","16","48.785","11","48.785","0:00","0:00"
"753","PARASOL SPF 30 120ML","","BOTOL/DROP","LUAR","BIASA","0","16","84.59","11","84.59","0:00","0:00"
"754","BENZOLAC-CL 10GR","","BOTOL/DROP","LUAR","BIASA","0","16","32.01","11","32.01","0:00","0:00"
"755","FRUIT 18 ADULT","","BOX","ORAL","BIASA","0","16","137.5","11","137.5","0:00","0:00"
"756","VEGEBLEND ADULT","","BOX","ORAL","BIASA","0","16","137.5","11","137.5","0:00","0:00"
"757","STIK ONE TOUCH ULTRA","","TABLETLET","ORAL","BIASA","0","16","320","11","320","0:00","0:00"
"758","SOFTAMAN 500ML","","BOTOL/DROP","LUAR","BIASA","0","16","99","11","99","0:00","0:00"
"759","XARELTO 10MG","","TABLETLET","ORAL","BIASA","0","16","36.827","11","36.827","0:00","0:00"
"760","KONICARE GEL P GATAL 30ML","","BOTOL/DROP","LUAR","BIASA","0","15","6.534","11","6.534","0:00","0:00"
"761","VOLTAREN SR 75MG","","TABLETLET","ORAL","BIASA","0","16","9.135","11","9.135","0:00","0:00"
"762","TENSIVASK 5MG","","TABLETLET","ORAL","BIASA","0","16","5.72","11","5.72","0:00","0:00"
"763","DIVENS PLUS SYRUP 100ML","","TABLETLET","ORAL","BIASA","0","16","31.35","11","31.35","0:00","0:00"
"764","GEL USG 5L","","BOTOL/DROP","LUAR","BIASA","0","16","150","11","150","0:00","0:00"
"765","ANFIX 100MG","","TABLETLET","ORAL","BIASA","0","16","14.08","11","14.08","0:00","0:00"
"766","CODIPRONT SYR 60ML","","BOTOL/DROP","ORAL","NARKOTIKA","0","25","56.265","25","56.265","0:00","0:00"
"767","TISSUE TRAVEL PACK","","BOX","LUAR","BIASA","0","17","1.7","11","1.7","0:00","0:00"
"768","CONSTANTIA","7/31/2025","BOTOL/DROP","ORAL","BIASA","36.075","16","0","11","33.302","0:00","2:00"
"769","VOCEFA DRY SYRUP","","BOTOL/DROP","ORAL","BIASA","0","16","41.25","11","41.25","0:00","0:00"
"770","REDOXON EFF ISI 15","","BOTOL/DROP","ORAL","BIASA","0","16","37.352","11","37.352","0:00","0:00"
"771","SELSUN YELLOW 60ML","","BOTOL/DROP","LUAR","BIASA","0","16","25.988","11","25.988","0:00","0:00"
"772","ANFIX DRY SYRUP","","BOTOL/DROP","ORAL","BIASA","0","16","77","11","77","0:00","0:00"
"773","VALESCO TABLET 80MG","","TABLETLET","ORAL","BIASA","0","16","8.8","11","8.8","0:00","0:00"
"774","MADECASOL OINT","","TABLETLET","ORAL","BIASA","0","17","132.825","11","132.825","0:00","0:00"
"775","DANSERA","","TABLETLET","ORAL","BIASA","0","16","5.5","11","5.5","0:00","0:00"
"776","ENDROLIN INJEKSI","","BOTOL/DROP","INJEKSI","BIASA","0","12","1,309,000","11","1,309,000","0:00","0:00"
"777","DILANTIN 100MG","","KAPSULUL","ORAL","BIASA","0","16","5.629","11","5.629","0:00","0:00"
"778","DIKLOVIT TABLET","","TABLETLET","ORAL","BIASA","0","16","2.886","11","2.886","0:00","0:00"
"779","HOTIN CREAM TUBE AROMATHERAPY 120GRAM","","TUBE","LUAR","BIASA","0","16","24.53","11","24.53","0:00","0:00"
"780","CATHETER 16","","TABLETLET","LUAR","BIASA","0","16","16.8","11","16.8","0:00","0:00"
"781","CATHETER 18","","TUBE","LUAR","BIASA","0","16","16.8","11","16.8","0:00","0:00"
"782","XEPAZYM","4/30/2026","TABLETLET","ORAL","BIASA","3.552","16","0","11","3.33","0:00","117:00:00"
"783","INH (ISONIAZIDUM) 100MG","","TABLETLET","ORAL","BIASA","0","16","100","11","116","0:00","0:00"
"784","DIOVAN 160 SALAH","","TABLETLET","ORAL","BIASA","0","15","6.5","10","6.5","0:00","0:00"
"785","TOPCORT","","TUBE","LUAR","BIASA","0","16","25.3","11","25.3","0:00","0:00"
"786","GESTAMAG TABLET","","TABLETLET","ORAL","BIASA","0","16","954","11","954","0:00","0:00"
"787","ZAMEL SYR","","BOTOL/DROP","ORAL","BIASA","0","16","41.25","11","41.25","0:00","0:00"
"788","VIDORAN GUMMY FRUGIE","","TABLETLET","ORAL","BIASA","0","16","15","11","15","0:00","0:00"
"789","VIDORAN GUMMY KALSIUM","","TABLETLET","ORAL","BIASA","0","16","15","11","15","0:00","0:00"
"790","Q-TEN 100MG","","KAPSULUL","ORAL","BIASA","0","12","11","11","11","0:00","0:00"
"791","MEDIKLIN GEL 15GRAM","10/30/2025","TUBE","LUAR","BIASA","27.95","16","0","11","27.95","0:00","6:00"
"792","IMESCO","","TABLETLET","ORAL","BIASA","0","16","6.05","11","6.05","0:00","0:00"
"793","RIFAMTIBI 450","8/31/2026","TABLETLET","ORAL","BIASA","5.217","16","0","11","4.995","0:00","377:00:00"
"794","NUZIP 25MG","","TABLETLET","ORAL","BIASA","0","20","5.994","20","5.994","0:00","0:00"
"795","LARUTAN SAVLON 1LITER","","BOTOL/DROP","LUAR","BIASA","0","16","350","11","350","0:00","0:00"
"796","NEO-MERCAZOLE","","TABLETLET","ORAL","BIASA","0","16","1.65","11","1.65","0:00","0:00"
"797","VIDORAN SMART SIRUP","","BOTOL/DROP","ORAL","BIASA","0","16","13.2","11","13.2","0:00","0:00"
"798","TAFLOTAN 2.5 ML","","TUBE","LUAR","BIASA","0","16","358.05","11","358.05","0:00","0:00"
"799","DECOLGEN MASUK ANGIN","","STRIP","ORAL","BIASA","0","16","1.5","11","1.5","0:00","0:00"
"800","VICEE TABLET","","STRIP","ORAL","BIASA","0","16","1.258","11","1.258","0:00","0:00"
"801","ALORA TABLET","","TABLETLET","ORAL","BIASA","0","16","2.75","11","2.75","0:00","0:00"
"802","ODR SYRUP","6/30/2026","BOTOL/DROP","ORAL","BIASA","133.2","16","0","11","122.1","0:00","4:00"
"803","TORASIC","","TABLETLET","ORAL","BIASA","0","16","7.632","11","7.632","0:00","0:00"
"804","VIRINON","","TABLETLET","ORAL","BIASA","0","16","1.089","11","1.089","0:00","0:00"
"805","CLOFRITIS 10MG","6/30/2025","TABLETLET","ORAL","PSIKOTROPIKA","1.665","25","0","25","1.665","0:00","41:00:00"
"806","HYTRIN","","TABLETLET","ORAL","BIASA","0","16","8.499","11","8.499","0:00","0:00"
"807","SULDOX","","TABLETLET","ORAL","BIASA","0","16","2.2","11","2.2","0:00","0:00"
"808","VALESCO 160MG","","TABLETLET","ORAL","BIASA","0","10","14.3","10","14.3","0:00","0:00"
"809","V FRESH MAXI","","TABLETLET","ORAL","BIASA","0","16","15.18","11","15.18","0:00","0:00"
"810","AUSPILIC 500MG","","TABLETLET","ORAL","BIASA","0","16","10.05","11","10.05","0:00","0:00"
"811","HANSAPLAST JUNIOR PRINCESS","","STRIP","LUAR","BIASA","0","16","4.801","11","4.801","0:00","0:00"
"812","MERISLON 6","","TABLETLET","ORAL","BIASA","0","16","4.639","11","4.639","0:00","0:00"
"813","STILESCO","","TABLETLET","ORAL","BIASA","0","10","35.2","10","35.2","0:00","0:00"
"814","CAVIDA","","TABLETLET","ORAL","BIASA","0","16","2.75","11","2.75","0:00","0:00"
"815","GLUDEPATIC 500","","TABLETLET","ORAL","BIASA","0","16","340","11","340","0:00","0:00"
"816","REPROSTOM","","TABLETLET","ORAL","BIASA","0","16","9.24","11","9.24","0:00","0:00"
"817","GALTEN KAPLET","","TABLETLET","ORAL","BIASA","0","16","6.6","11","6.6","0:00","0:00"
"818","AQUA MARIS BABY DROPS 15ML","","BOTOL/DROP","LUAR","BIASA","0","16","93.5","11","93.5","0:00","0:00"
"819","LASIX","","TABLETLET","ORAL","BIASA","0","16","5.939","11","5.939","0:00","0:00"
"820","PROZA SYRUP","","BOTOL/DROP","ORAL","BIASA","0","16","88","11","88","0:00","0:00"
"821","ANCEFA 500MG","","KAPSULUL","ORAL","BIASA","0","16","11.1","11","11.1","0:00","0:00"
"822","S-26 GOLD LBW 100","","BOX","ORAL","BIASA","0","12","39.671","11","39.671","0:00","0:00"
"823","S-26 GOLD NUTRISURE 400G","","BOX","ORAL","BIASA","0","12","127.4","11","123.481","0:00","0:00"
"824","BION C","","TABLETLET","ORAL","BIASA","0","16","99","11","99","0:00","0:00"
"825","VIDORAN XMART 3 750GR","","TABLETLET","ORAL","BIASA","0","16","56.25","11","56.25","0:00","0:00"
"826","RISPERDAL 30ML","","BOTOL/DROP","ORAL","BIASA","0","20","412.913","20","412.913","0:00","0:00"
"827","MINOSEP GARGLE 150ML","","BOTOL/DROP","LUAR","BIASA","0","16","46.8","11","46.8","0:00","0:00"
"828","THROMBOPHOB GEL 20GR","","TUBE","LUAR","BIASA","0","16","59.385","11","59.385","0:00","0:00"
"829","TEMPRA SYR 60ML","","BOTOL/DROP","ORAL","BIASA","0","16","42.846","11","42.846","0:00","0:00"
"830","FAMOCID 20","","TABLETLET","ORAL","BIASA","0","16","4.385","11","4.385","0:00","0:00"
"831","SEBIVO 600MG","","TABLETLET","ORAL","BIASA","0","12","54.306","11","54.306","0:00","0:00"
"832","XANTIA","3/30/2025","KAPSULUL","ORAL","BIASA","8.325","16","0","11","8.25","0:00","69:00:00"
"833","Q10 PLUS","","TABLETLET","ORAL","BIASA","0","16","16.368","11","16.368","0:00","0:00"
