"nama","nomor_batch","tanggal_expired","isi1","satuan","jenis","kelompok","harga_beli","up_a","harga_a","up_b","harga_b","stok_awal","stok_akhir"
"FITBON KAPLET","_","00/00/0000","_","_","_","_","1,628","16","1,888","11","1,807","0.00","95.00"
"ALKOHOL 70% GAJAH 100ML","_","00/00/0000","_","_","_","_","8,500","15","9,775","11","9,435","0.00","3.00"
"ALKOHOL 70% GAJAH 1000ML","_","00/00/0000","_","_","_","_","62,000","15","71,300","11","68,820","0.00","10.00"
"SIMILAC NEOSURE POWDER 370GR","_","00/00/0000","_","_","_","_","138,241","16","160,360","11","153,448","0.00","0.00"
"COMTUSI SYR ANAK","_","00/00/0000","_","_","_","_","38,610","16","44,788","11","42,857","0.00","0.00"
"DIZINE 5MG TAB","_","00/00/0000","_","_","_","_","4,235","16","4,913","11","4,701","0.00","0.00"
"RHINATHIOL ROME SYR","_","00/00/0000","_","_","_","_","43,340","16","50,274","11","48,107","0.00","0.00"
"MY BABY SOFTENER 1500ML","_","00/00/0000","_","_","_","_","15,000","16","17,400","11","16,650","0.00","0.00"
"SANAFLU SYR PLUS BATUK","_","00/00/0000","_","_","_","_","12,543","16","14,550","11","13,923","0.00","0.00"
"DUREX CLOSE 3","_","00/00/0000","_","_","_","_","10,395","17","12,162","11","11,538","0.00","0.00"
"DUREX COMFORT 3","_","00/00/0000","_","_","_","_","10,395","17","12,162","11","11,538","0.00","0.00"
"DUREX EXTRA 3","_","00/00/0000","_","_","_","_","14,196","17","16,609","11","15,758","0.00","0.00"
"DUREX FETHERLITE 3","_","00/00/0000","_","_","_","_","12,496","17","14,620","11","13,871","0.00","0.00"
"DUREX TOGETHER 3","_","00/00/0000","_","_","_","_","12,270","17","14,356","11","13,620","0.00","0.00"
"FRESHCARE TEEN BUBLE,HAPPY,PASSION","_","00/00/0000","_","_","_","_","9,700","16","11,252","11","10,767","0.00","0.00"
"TONGKAT ANGSA","_","00/00/0000","_","_","_","_","90,000","17","105,300","11","99,900","0.00","0.00"
"HEXILON 4MG","_","00/00/0000","_","_","_","_","4,196","16","4,867","11","4,658","0.00","0.00"
"ALPRAZOLAM 0.5MG","_","00/00/0000","_","_","_","_","671","25","839","25","839","0.00","0.00"
"ALPRAZOLAM 1 MG","_","00/00/0000","_","_","_","_","666","25","833","25","833","0.00","300.00"
"SENDOK OBAT","_","00/00/0000","_","_","_","_","900","16","1,044","11","999","0.00","0.00"
"TOFEDEX 25MG","_","00/00/0000","_","_","_","_","8,325","16","9,657","11","9,241","0.00","0.00"
"BALSAM LION BESAR 31GR","_","00/00/0000","_","_","_","_","22,200","16","25,752","11","24,642","0.00","100.00"
"BALSAM LION KECIL 13GR","_","00/00/0000","_","_","_","_","12,210","16","14,164","11","13,553","0.00","1.00"
"HYALOPH ED","_","00/00/0000","_","_","_","_","77,090","16","89,424","11","85,570","0.00","3.00"
"REFAQUIN ","_","00/00/0000","_","_","_","_","68,860","16","79,878","11","76,435","0.00","0.00"
"LIZOR TAB","_","00/00/0000","_","_","_","_","25,465","12","28,521","11","28,266","0.00","0.00"
"HEXILON 8MG","_","00/00/0000","_","_","_","_","5,994","16","6,953","11","6,653","0.00","0.00"
"SUVESCO 20MG","_","00/00/0000","_","_","_","_","11,655","16","13,520","11","12,937","0.00","134.00"
"FARMADRAL TAB","_","00/00/0000","_","_","_","_","220","16","255","11","244","0.00","0.00"
"VITAQUIN CR 15CR","_","00/00/0000","_","_","_","_","54,725","16","63,481","11","60,745","0.00","0.00"
"NUTRIBABY SOYA 1 400GR","_","00/00/0000","_","_","_","_","96,767","10","106,444","10","106,444","0.00","0.00"
"NUTRIBABAY SOYA 2 400GR","_","00/00/0000","_","_","_","_","96,000","12","107,520","11","106,560","0.00","0.00"
"FLUDANE","_","00/00/0000","_","_","_","_","809","16","938","11","898","0.00","0.00"
"RENOVIT BTL","_","00/00/0000","_","_","_","_","60,830","16","70,563","11","67,521","0.00","0.00"
"DEGRADE TAB","_","00/00/0000","_","_","_","_","7,150","16","8,294","11","7,937","0.00","0.00"
"VACLO TAB","_","00/00/0000","_","_","_","_","13,750","10","15,125","10","15,125","0.00","0.00"
"SAGALON CR","_","00/00/0000","_","_","_","_","44,900","16","52,084","11","49,839","0.00","3.00"
"VASELIN ALBUM / GRAM","_","00/00/0000","_","_","_","_","200","16","232","11","222","0.00","0.00"
"ACIDUM SALICYLICUM / G","_","00/00/0000","_","_","_","_","150","5,200","7,950","5,100","7,800","0.00","0.00"
"HAEMOCAINE OINT","_","00/00/0000","_","_","_","_","98,690","16","114,480","11","109,546","0.00","3.00"
"CURCUMA+EMULSI GROW","_","00/00/0000","_","_","_","_","1,975","16","2,291","11","2,192","0.00","0.00"
"STUGERON TAB","_","00/00/0000","_","_","_","_","2,733","16","3,170","11","3,034","0.00","0.00"
"MOVI-COX 7.5 MG","_","00/00/0000","_","_","_","_","13,495","16","15,654","11","14,979","0.00","0.00"
"LIVER CARE","_","00/00/0000","_","_","_","_","6,014","16","6,976","11","6,676","0.00","0.00"
"TERUMO SPUIT 1ML","_","00/00/0000","_","_","_","_","3,600","16","4,176","11","3,996","0.00","0.00"
"CENDO POSOP ED","_","00/00/0000","_","_","_","_","62,150","16","72,094","11","68,987","0.00","0.00"
"BATANG PENGADUK ","_","00/00/0000","_","_","_","_","4,000","16","4,640","11","4,440","0.00","0.00"
"SERVICAL COLLAR","_","00/00/0000","_","_","_","_","125,000","16","145,000","11","138,750","0.00","0.00"
"LACTAMOR TAB","_","00/00/0000","_","_","_","_","2,720","16","3,155","11","3,019","0.00","0.00"
"LONGATIN TAB","_","00/00/0000","_","_","_","_","4,620","16","5,359","11","5,128","0.00","0.00"
"TANTUM VERDE LOZENGES","_","00/00/0000","_","_","_","_","3,053","16","3,541","11","3,389","0.00","250.00"
"TEXORATE TAB","_","00/00/0000","_","_","_","_","5,500","16","6,380","11","6,105","0.00","0.00"
"HEPAMAX KAPSUL","_","00/00/0000","_","_","_","_","11,655","16","13,520","11","12,937","0.00","0.00"
"FRESH CARE + FRESHOLDER ","_","00/00/0000","_","_","_","_","19,250","15","22,138","11","21,368","0.00","0.00"
"TESSA FACIAL TP","_","00/00/0000","_","_","_","_","3,700","16","4,292","11","4,107","0.00","0.00"
"MAMY POKO STD M9","_","00/00/0000","_","_","_","_","15,900","16","18,444","11","17,649","0.00","0.00"
"PRE NAN 400GR","_","00/00/0000","_","_","_","_","68,200","16","79,112","11","75,702","0.00","0.00"
"GOOD HEALTH SUSU COLOSTRUM","_","00/00/0000","_","_","_","_","16,500","17","19,305","11","18,315","0.00","0.00"
"VASCUPRAX 100MG","_","00/00/0000","_","_","_","_","3,025","16","3,509","11","3,358","0.00","0.00"
"FATICA TAB","_","00/00/0000","_","_","_","_","1,100","16","1,276","11","1,221","0.00","0.00"
"NODROP","_","00/00/0000","_","_","_","_","615","16","713","11","683","0.00","0.00"
"INOLIN TAB","_","00/00/0000","_","_","_","_","1,366","16","1,585","11","1,516","0.00","0.00"
"ALKOHOL 70% GAJAH 300ML","_","00/00/0000","_","_","_","_","21,000","15","24,150","11","23,310","0.00","8.00"
"BOLA TENSI ABN","_","00/00/0000","_","_","_","_","50,000","15","57,500","10","55,000","0.00","0.00"
"SIRAN EFF 600MG PER TUBE","_","00/00/0000","_","_","_","_","110,000","16","127,600","11","122,100","0.00","0.00"
"VOMETA FT","_","00/00/0000","_","_","_","_","4,884","16","5,665","11","5,421","0.00","0.00"
"CORDILA SR 180MG","_","00/00/0000","_","_","_","_","6,820","16","7,911","11","7,570","0.00","0.00"
"TEMPRA DROP","_","00/00/0000","_","_","_","_","46,065","16","53,435","11","51,132","0.00","0.00"
"OMZ KAPS 20MG","_","00/00/0000","_","_","_","_","12,834","12","14,374","11","14,246","0.00","0.00"
"KONDOM SUTRA OK 12S","","00/00/0000","","BOX","LUAR","BIASA","28,355","17","0","11","28,100","0.00","8.00"
"BODREX FLU ","_","00/00/0000","_","_","_","_","1,511","16","1,753","11","1,677","0.00","0.00"
"MEDIXON 4MG","_","00/00/0000","_","_","_","_","2,530","17","2,960","11","2,808","0.00","0.00"
"MEDIXON 8MG","_","00/00/0000","_","_","_","_","4,070","17","4,762","11","4,518","0.00","0.00"
"HISTRINE FT 10MG","_","00/00/0000","_","_","_","_","6,270","17","7,336","11","6,960","0.00","0.00"
"CEFADROXIL 250 MG SYR","_","00/00/0000","_","_","_","_","16,500","17","19,305","11","18,315","0.00","0.00"
"LEUKOPLAST 2.5CM","_","00/00/0000","_","_","_","_","17,000","17","19,890","11","18,870","0.00","0.00"
"FOSRENOL CHEW 500MG","_","00/00/0000","_","_","_","_","23,100","17","27,027","11","25,641","0.00","0.00"
"BELVAS 5MG TAB","_","00/00/0000","_","_","_","_","1,200","17","1,404","11","1,332","0.00","0.00"
"LACTULAX SYR","_","00/00/0000","_","_","_","_","48,400","16","56,144","11","53,724","0.00","0.00"
"PROVOMER TAB","_","00/00/0000","_","_","_","_","2,640","17","3,089","11","2,930","0.00","0.00"
"NEUROTAM 800MG","_","00/00/0000","_","_","_","_","4,180","17","4,891","11","4,640","0.00","0.00"
"TISU SAKU/POCKET","_","00/00/0000","_","_","_","_","1,000","17","1,170","11","1,110","0.00","0.00"
"TISU BASAH MITU KECIL","_","00/00/0000","_","_","_","_","3,600","17","4,212","11","3,996","0.00","0.00"
"AMPICILLIN SYR","_","00/00/0000","_","_","_","_","3,240","17","3,791","11","3,596","0.00","0.00"
"CEFAZOL INJ","_","00/00/0000","_","_","_","_","132,000","17","154,440","11","146,520","0.00","0.00"
"MENTHOL CONE","_","00/00/0000","_","_","_","_","17,501","17","20,476","11","19,426","0.00","0.00"
"SCOTTS CHEWYVIT C","_","00/00/0000","_","_","_","_","13,900","17","16,263","11","15,429","0.00","0.00"
"ANDALAN PIL KB PER BOX","_","00/00/0000","_","_","_","_","8,001","17","9,361","11","8,881","0.00","0.00"
"PROMUXOL SYR","_","00/00/0000","_","_","_","_","23,100","17","27,027","11","25,641","0.00","0.00"
"PHYLLOCONTIN CONTINUOS","_","00/00/0000","_","_","_","_","2,500","17","2,925","11","2,775","0.00","0.00"
"SPATEL","_","00/00/0000","_","_","_","_","20,000","17","23,400","11","22,200","0.00","0.00"
"KAPAS 1KG","_","00/00/0000","_","_","_","_","56,000","17","65,520","11","62,160","0.00","0.00"
"BETASERC 24MG","_","00/00/0000","_","_","_","_","12,993","16","15,072","11","14,422","0.00","0.00"
"RENALOF","_","00/00/0000","_","_","_","_","15,540","16","18,026","11","17,249","0.00","58.00"
"CETIRIZINE SYR","_","00/00/0000","_","_","_","_","10,441","17","12,216","11","11,590","0.00","0.00"
"TESSA TPC ","_","00/00/0000","_","_","_","_","2,700","17","3,159","11","2,997","0.00","0.00"
"KOOL FEVER ANAK","_","00/00/0000","_","_","_","_","6,069","16","7,040","11","6,737","0.00","1.00"
"LODIPAS 10MG","_","00/00/0000","_","_","_","_","6,105","16","7,082","11","6,777","0.00","1,152.00"
"OPUS TABLET","_","00/00/0000","_","_","_","_","6,105","17","7,143","11","6,777","0.00","0.00"
"ARSINAL (300MG)","_","00/00/0000","_","_","_","_","1,221","16","1,416","11","1,355","0.00","168.00"
"CEFSPAN DRY SYRUP","_","00/00/0000","_","_","_","_","138,750","16","160,950","11","154,013","0.00","0.00"
"DEXAMETHASONE INJ 5MG/ML","_","00/00/0000","_","_","_","_","2,350","17","2,750","11","2,609","0.00","0.00"
"SOHOBION TABLET","_","00/00/0000","_","_","_","_","1,100","17","1,287","11","1,221","0.00","0.00"
"SCOTTS EMULSION VITA 200ML","_","00/00/0000","_","_","_","_","42,160","16","48,906","11","46,798","0.00","0.00"
"SCOTTS EMULSION VITA 400ML","_","00/00/0000","_","_","_","_","49,812","17","58,280","11","55,291","0.00","0.00"
"SCOTTS EMULSION ORIGINAL 400ML","_","00/00/0000","_","_","_","_","38,795","17","45,390","11","43,062","0.00","0.00"
"HUSTAB P","_","00/00/0000","_","_","_","_","300","17","351","11","333","0.00","0.00"
"LEUKOFIX PT 2121","_","00/00/0000","_","_","_","_","15,400","17","18,018","11","17,094","0.00","0.00"
"NOPERTEN 5MG","_","00/00/0000","_","_","_","_","3,135","17","3,668","11","3,480","0.00","0.00"
"LIKURMIN SYR 100ML","_","00/00/0000","_","_","_","_","56,610","17","66,234","11","62,837","0.00","0.00"
"CITICOLINE 500MG","_","00/00/0000","_","_","_","_","5,661","16","6,567","11","6,284","0.00","145.00"
"ANTALGIN 500MG/METAMIZOLE","_","00/00/0000","_","_","_","_","260","25","325","11","289","0.00","0.00"
"INTIFEN 1MG","_","00/00/0000","_","_","_","_","5,578","16","6,470","11","6,192","0.00","0.00"
"BIO ATP","_","00/00/0000","_","_","_","_","2,356","17","2,757","11","2,615","0.00","0.00"
"BLOPRESS 16MG TAB","_","00/00/0000","_","_","_","_","16,500","10","18,150","10","18,150","0.00","0.00"
"SOFRADEX","_","00/00/0000","_","_","_","_","63,828","17","74,679","11","70,849","0.00","0.00"
"TB VIT 6 TAB","_","00/00/0000","_","_","_","_","833","16","966","11","925","0.00","212.00"
"ARCAPEC TAB","_","00/00/0000","_","_","_","_","1,221","16","1,416","11","1,355","0.00","83.00"
"KURSI RODA GEA","_","00/00/0000","_","_","_","_","950,000","17","1,111,500","11","1,054,500","0.00","0.00"
"LONGCEF 125MG 60ML","_","00/00/0000","_","_","_","_","46,200","16","53,592","11","51,282","0.00","0.00"
"TB ZET","_","00/00/0000","_","_","_","_","1,388","16","1,610","11","1,541","0.00","27.00"
"OBH TROPICA PLUS 100ML","_","00/00/0000","_","_","_","_","25,300","16","29,348","11","28,083","0.00","0.00"
"AKILEN 200MG ","_","00/00/0000","_","_","_","_","10,268","16","11,911","11","11,397","0.00","0.00"
"BIO SANBE","_","00/00/0000","_","_","_","_","990","16","1,148","11","1,099","0.00","0.00"
"CENDO TOBRO 5ML","_","00/00/0000","_","_","_","_","22,825","16","26,477","11","25,336","0.00","0.00"
"AERIUS D-12","_","00/00/0000","_","_","_","_","7,370","16","8,549","11","8,181","0.00","0.00"
"METHYLPREDNISOLONE 8MG","_","00/00/0000","_","_","_","_","591","25","739","11","656","0.00","0.00"
"TOCO-E","_","00/00/0000","_","_","_","_","9,534","16","11,059","11","10,583","0.00","0.00"
"OBAT BATUK PEPERMINT (OBP)","_","00/00/0000","_","_","_","_","6,066","16","7,037","11","6,733","0.00","0.00"
"TALION TAB","_","00/00/0000","_","_","_","_","2,646","16","3,069","11","2,937","0.00","0.00"
"ACETON","_","00/00/0000","_","_","_","_","6,500","16","7,540","11","7,215","0.00","0.00"
"KIRANTI KUNING","_","00/00/0000","_","_","_","_","4,550","17","5,324","11","5,051","0.00","0.00"
"KIRANTI BIRU","_","00/00/0000","_","_","_","_","4,250","17","4,973","11","4,718","0.00","0.00"
"VIDORAN MY BABY 1 375G","_","00/00/0000","_","_","_","_","28,125","16","32,625","11","31,219","0.00","0.00"
"VIDORAN MY BABY 2 135G","_","00/00/0000","_","_","_","_","10,625","16","12,325","11","11,794","0.00","0.00"
"VIDORAN XMART 3 MADU/VAN 135G","_","00/00/0000","_","_","_","_","11,000","16","12,760","11","12,210","0.00","0.00"
"VIDORAN XMART 4 MADU/VAN 135G","_","00/00/0000","_","_","_","_","10,000","16","11,600","11","11,100","0.00","0.00"
"KALKURENAL","_","00/00/0000","_","_","_","_","120,000","16","139,200","11","133,200","0.00","0.00"
"CENDO REPITHEL 5ML","_","00/00/0000","_","_","_","_","56,650","16","65,714","11","62,882","0.00","0.00"
"LODOMER INJ","_","00/00/0000","_","_","_","_","12,638","20","15,166","20","15,166","0.00","7.00"
"DAKTARIN POWDER","_","00/00/0000","_","_","_","_","47,586","16","55,200","11","52,820","0.00","0.00"
"SACCORIT ","_","00/00/0000","_","_","_","_","8,250","16","9,570","11","9,158","0.00","0.00"
"MAMY POKO PANTS STD S 11","_","00/00/0000","_","_","_","_","15,900","16","18,444","11","17,649","0.00","0.00"
"NASSAL ASPIRATOR CAMERA (SALAH)","_","00/00/0000","_","_","_","_","22,500","15","25,875","10","24,750","0.00","0.00"
"BREAST PUMP ","_","00/00/0000","_","_","_","_","10,000","16","11,600","11","11,100","0.00","0.00"
"M TELON LANG PLUS TRIPLE ACT 60ML","_","00/00/0000","_","_","_","_","16,279","16","18,884","11","18,070","0.00","1.00"
"M TELON LANG PLUS TRIPLE ACT 100ML","_","00/00/0000","_","_","_","_","26,034","16","30,199","11","28,898","0.00","2.00"
"M KP AMBONIA 100ML","_","00/00/0000","_","_","_","_","25,666","16","29,773","11","28,489","0.00","0.00"
"ULBAMED","_","00/00/0000","_","_","_","_","3,850","16","4,466","11","4,274","0.00","0.00"
"BMT P-HP 800 GR","_","00/00/0000","_","_","_","_","292,677","16","339,505","11","324,871","0.00","0.00"
"MYCOSTATIN DROPS","_","00/00/0000","_","_","_","_","52,580","16","60,993","11","58,364","0.00","0.00"
"N-ACE KAPSUL","_","00/00/0000","_","_","_","_","3,330","16","3,863","11","3,696","0.00","75.00"
"TANAKAN 40MG","_","00/00/0000","_","_","_","_","5,867","16","6,806","11","6,512","0.00","0.00"
"PROMAMA TAB","_","00/00/0000","_","_","_","_","7,568","16","8,779","11","8,400","0.00","0.00"
"CLOZARIL 25MG","_","00/00/0000","_","_","_","_","7,510","20","9,012","20","9,012","0.00","0.00"
"ONE TOUCH ALAT PLUS STIK","_","00/00/0000","_","_","_","_","425,000","16","493,000","11","471,750","0.00","0.00"
"ACNE FELDIN LOTION 110ML","_","00/00/0000","_","_","_","_","39,600","16","45,936","11","43,956","0.00","0.00"
"BIOPLACENTON TULLE","_","00/00/0000","_","_","_","_","17,050","16","19,778","11","18,926","0.00","0.00"
"PLATOGRIX 75MG","_","00/00/0000","_","_","_","_","6,168","16","7,155","11","6,846","0.00","0.00"
"CLANEKSI TAB","_","00/00/0000","_","_","_","_","14,819","16","17,190","11","16,449","0.00","0.00"
"KORSET LUMBAR","_","00/00/0000","_","_","_","_","250,000","27","317,500","26","315,000","0.00","0.00"
"OPTIMAX FOR G","_","00/00/0000","_","_","_","_","10,024","16","11,628","11","11,127","0.00","0.00"
"PARASOL SPF 15 120 ML","_","00/00/0000","_","_","_","_","48,785","16","56,591","11","54,151","0.00","0.00"
"PARASOL SPF 30 120ML","_","00/00/0000","_","_","_","_","84,590","16","98,124","11","93,895","0.00","0.00"
"BENZOLAC-CL 10GR","_","00/00/0000","_","_","_","_","32,010","16","37,132","11","35,531","0.00","0.00"
"FRUIT 18 ADULT ","_","00/00/0000","_","_","_","_","137,500","16","159,500","11","152,625","0.00","0.00"
"VEGEBLEND ADULT","_","00/00/0000","_","_","_","_","137,500","16","159,500","11","152,625","0.00","0.00"
"STIK ONE TOUCH ULTRA","_","00/00/0000","_","_","_","_","320,000","16","371,200","11","355,200","0.00","0.00"
"SOFTAMAN 500ML","_","00/00/0000","_","_","_","_","99,000","16","114,840","11","109,890","0.00","0.00"
"XARELTO 10MG","_","00/00/0000","_","_","_","_","36,827","16","42,719","11","40,878","0.00","0.00"
"KONICARE GEL P GATAL 30ML","_","00/00/0000","_","_","_","_","6,534","15","7,514","11","7,253","0.00","0.00"
"VOLTAREN SR 75MG","_","00/00/0000","_","_","_","_","9,135","16","10,597","11","10,140","0.00","0.00"
"TENSIVASK 5MG","_","00/00/0000","_","_","_","_","5,720","16","6,635","11","6,349","0.00","0.00"
"DIVENS PLUS SYRUP 100ML","_","00/00/0000","_","_","_","_","31,350","16","36,366","11","34,799","0.00","0.00"
"GEL USG 5L","_","00/00/0000","_","_","_","_","150,000","16","174,000","11","166,500","0.00","0.00"
"CODIPRONT SYR 60ML","_","00/00/0000","_","_","_","_","56,265","25","70,331","25","70,331","0.00","0.00"
"TISSUE TRAVEL PACK","_","00/00/0000","_","_","_","_","1,700","17","1,989","11","1,887","0.00","0.00"
"CONSTANTIA","_","00/00/0000","_","_","_","_","36,075","16","41,847","11","40,043","0.00","2.00"
"VOCEFA DRY SYRUP","_","00/00/0000","_","_","_","_","41,250","16","47,850","11","45,788","0.00","0.00"
"REDOXON EFF ISI 15","_","00/00/0000","_","_","_","_","43,068","16","49,959","11","47,805","0.00","0.00"
"SELSUN YELLOW 60ML","_","00/00/0000","_","_","_","_","25,988","16","30,146","11","28,847","0.00","0.00"
"ANFIX DRY SYRUP","_","00/00/0000","_","_","_","_","77,000","16","89,320","11","85,470","0.00","0.00"
"VALESCO TAB 80MG ","_","00/00/0000","_","_","_","_","8,800","16","10,208","11","9,768","0.00","0.00"
"MADECASOL OINT","_","00/00/0000","_","_","_","_","132,825","17","155,405","11","147,436","0.00","0.00"
"DANSERA","_","00/00/0000","_","_","_","_","5,500","16","6,380","11","6,105","0.00","0.00"
"ENDROLIN INJEKSI","_","00/00/0000","_","_","_","_","1,309,000","12","1,466,080","11","1,452,990","0.00","0.00"
"DILANTIN 100MG","_","00/00/0000","_","_","_","_","5,629","16","6,530","11","6,248","0.00","0.00"
"DIKLOVIT TAB","_","00/00/0000","_","_","_","_","3,330","16","3,863","11","3,696","0.00","0.00"
"HOTIN CREAM TUBE AROMATHERAPY 120GRAM","_","00/00/0000","_","_","_","_","24,530","16","28,455","11","27,228","0.00","0.00"
"CATHETER 16","_","00/00/0000","_","_","_","_","16,800","16","19,488","11","18,648","0.00","0.00"
"CATHETER 18","_","00/00/0000","_","_","_","_","16,800","16","19,488","11","18,648","0.00","0.00"
"XEPAZYM","_","00/00/0000","_","_","_","_","3,552","16","4,120","11","3,943","0.00","117.00"
"INH (ISONIAZIDUM) 100MG","_","00/00/0000","_","_","_","_","100","16","116","11","111","0.00","0.00"
"DIOVAN 160 SALAH","_","00/00/0000","_","_","_","_","6,500","15","7,475","10","7,150","0.00","0.00"
"TOPCORT","_","00/00/0000","_","_","_","_","27,528","16","31,932","11","30,556","0.00","0.00"
"GESTAMAG TAB","_","00/00/0000","_","_","_","_","855","16","992","11","949","0.00","0.00"
"ZAMEL SYR","_","00/00/0000","_","_","_","_","41,250","16","47,850","11","45,788","0.00","0.00"
"VIDORAN GUMMY FRUGIE","_","00/00/0000","_","_","_","_","15,000","16","17,400","11","16,650","0.00","0.00"
"VIDORAN GUMMY KALSIUM","_","00/00/0000","_","_","_","_","15,000","16","17,400","11","16,650","0.00","0.00"
"Q-TEN 100MG","_","00/00/0000","_","_","_","_","11,000","12","12,320","11","12,210","0.00","0.00"
"MEDIKLIN GEL 15GRAM","_","00/00/0000","_","_","_","_","27,950","16","32,422","11","31,025","0.00","0.00"
"IMESCO","_","00/00/0000","_","_","_","_","6,050","16","7,018","11","6,716","0.00","0.00"
"RIFAMTIBI 450","_","00/00/0000","_","_","_","_","5,217","16","6,052","11","5,791","0.00","377.00"
"NUZIP 25MG","_","00/00/0000","_","_","_","_","5,994","20","7,193","20","7,193","0.00","0.00"
"LARUTAN SAVLON 1LITER","_","00/00/0000","_","_","_","_","350,000","16","406,000","11","388,500","0.00","0.00"
"NEO-MERCAZOLE","_","00/00/0000","_","_","_","_","1,650","16","1,914","11","1,832","0.00","0.00"
"VIDORAN SMART SIRUP","_","00/00/0000","_","_","_","_","13,200","16","15,312","11","14,652","0.00","0.00"
"TAFLOTAN 2.5 ML","_","00/00/0000","_","_","_","_","358,050","16","415,338","11","397,436","0.00","0.00"
"DECOLGEN MASUK ANGIN","_","00/00/0000","_","_","_","_","1,500","16","1,740","11","1,665","0.00","0.00"
"VICEE TAB","_","00/00/0000","_","_","_","_","1,258","16","1,459","11","1,396","0.00","0.00"
"ALORA TAB","_","00/00/0000","_","_","_","_","2,750","16","3,190","11","3,053","0.00","0.00"
"ODR SYRUP","_","00/00/0000","_","_","_","_","133,200","16","154,512","11","147,852","0.00","4.00"
"TORASIC","_","00/00/0000","_","_","_","_","7,632","16","8,853","11","8,472","0.00","0.00"
"VIRINON","_","00/00/0000","_","_","_","_","1,089","16","1,263","11","1,209","0.00","0.00"
"CLOFRITIS 10MG","_","00/00/0000","_","_","_","_","1,665","25","2,081","25","2,081","0.00","41.00"
"HYTRIN","_","00/00/0000","_","_","_","_","8,499","16","9,859","11","9,434","0.00","0.00"
"SULDOX","_","00/00/0000","_","_","_","_","2,200","16","2,552","11","2,442","0.00","0.00"
"VALESCO 160MG","_","00/00/0000","_","_","_","_","14,300","10","15,730","10","15,730","0.00","0.00"
"V FRESH MAXI","_","00/00/0000","_","_","_","_","15,180","16","17,609","11","16,850","0.00","0.00"
"AUSPILIC 500MG","_","00/00/0000","_","_","_","_","10,050","16","11,658","11","11,156","0.00","0.00"
"HANSAPLAST JUNIOR PRINCESS","_","00/00/0000","_","_","_","_","4,801","16","5,569","11","5,329","0.00","0.00"
"MERISLON 6","_","00/00/0000","_","_","_","_","4,639","16","5,381","11","5,149","0.00","0.00"
"STILESCO","_","00/00/0000","_","_","_","_","35,200","10","38,720","10","38,720","0.00","0.00"
"CAVIDA ","_","00/00/0000","_","_","_","_","2,750","16","3,190","11","3,053","0.00","0.00"
"GLUDEPATIC 500","_","00/00/0000","_","_","_","_","340","16","394","11","377","0.00","0.00"
"REPROSTOM ","_","00/00/0000","_","_","_","_","9,240","16","10,718","11","10,256","0.00","0.00"
"GALTEN KAPLET","_","00/00/0000","_","_","_","_","6,600","16","7,656","11","7,326","0.00","0.00"
"AQUA MARIS BABY DROPS 15ML","_","00/00/0000","_","_","_","_","93,500","16","108,460","11","103,785","0.00","0.00"
"LASIX","_","00/00/0000","_","_","_","_","5,939","16","6,889","11","6,592","0.00","0.00"
"PROZA SYRUP","_","00/00/0000","_","_","_","_","88,000","16","102,080","11","97,680","0.00","0.00"
"ANCEFA 500MG","_","00/00/0000","_","_","_","_","11,100","16","12,876","11","12,321","0.00","0.00"
"S-26 GOLD LBW 100","_","00/00/0000","_","_","_","_","39,671","12","44,432","11","44,035","0.00","0.00"
"S-26 GOLD NUTRISURE 400G","_","00/00/0000","_","_","_","_","127,400","12","142,688","11","141,414","0.00","0.00"
"BION C","_","00/00/0000","_","_","_","_","99,000","16","114,840","11","109,890","0.00","0.00"
"VIDORAN XMART 3 750GR","_","00/00/0000","_","_","_","_","56,250","16","65,250","11","62,438","0.00","0.00"
"RISPERDAL 30ML","_","00/00/0000","_","_","_","_","412,913","20","495,496","20","495,496","0.00","0.00"
"MINOSEP GARGLE 150ML","_","00/00/0000","_","_","_","_","46,800","16","54,288","11","51,948","0.00","0.00"
"THROMBOPHOB GEL 20GR","_","00/00/0000","_","_","_","_","59,385","16","68,887","11","65,917","0.00","0.00"
"TEMPRA SYR 60ML","_","00/00/0000","_","_","_","_","42,846","16","49,701","11","47,559","0.00","0.00"
"SEBIVO 600MG","_","00/00/0000","_","_","_","_","54,306","12","60,823","11","60,280","0.00","0.00"
"XANTIA","_","00/00/0000","_","_","_","_","8,325","16","9,657","11","9,241","0.00","0.00"
"Q10 PLUS","_","00/00/0000","_","_","_","_","16,368","16","18,987","11","18,168","0.00","0.00"
"FENSIPROS","_","00/00/0000","_","_","_","_","10,450","16","12,122","11","11,600","0.00","0.00"
"MEDIKLIN TR 15GR","_","00/00/0000","_","_","_","_","44,330","16","51,423","11","49,206","0.00","0.00"
"WOODS PERMEN (LICORICE,SUGARFREE)","_","00/00/0000","_","_","_","_","4,200","15","4,830","10","4,620","0.00","0.00"
"MARCOTIN DROP","_","00/00/0000","_","_","_","_","58,600","16","67,976","11","65,046","0.00","0.00"
"HARNAL OCAS","_","00/00/0000","_","_","_","_","18,159","16","21,064","11","20,156","0.00","0.00"
"THRAMED","_","00/00/0000","_","_","_","_","2,700","16","3,132","11","2,997","0.00","0.00"
"AQUA MARIS SPRAY STRONG","_","00/00/0000","_","_","_","_","110,000","16","127,600","11","122,100","0.00","0.00"
"L-BIO SACHET","_","00/00/0000","_","_","_","_","9,990","16","11,588","11","11,089","0.00","0.00"
